Ch,yyyy,mm,dd,hh,mm,ss,Power,Power off,Status,Thermocouple,Temp C
B, 2020, 08, 21,18,19,43.489,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,19,43.891,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,19,44.292,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,19,44.693,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,19,45.095,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,19,45.496,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,19,45.897,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,19,46.299,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,19,46.700,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,19,47.002,TX-60, OK, Auto, Normal, R, 1453
B, 2020, 08, 21,18,19,47.403,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,19,47.804,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,19,48.206,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,19,48.607,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,19,49.009,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,19,49.410,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,26.621,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,27.022,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,27.424,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,27.825,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,28.226,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,28.628,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,29.029,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,29.431,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,29.832,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,30.234,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,30.635,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,31.036,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,31.438,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,31.839,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,32.241,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,32.642,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,32.999,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,33.345,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,33.746,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,34.148,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,34.549,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,34.951,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,35.352,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,35.754,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,35.999,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,35.999,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,35.999,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,35.999,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,37.005,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,37.406,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,38.284,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,38.685,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,39.387,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,39.788,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,40.189,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,40.591,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,40.992,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,41.394,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,41.795,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,42.197,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,42.598,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,42.999,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,43.401,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,43.802,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,44.204,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,44.605,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,45.007,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,45.408,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,45.810,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,46.211,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,46.612,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,47.014,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,47.415,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,47.817,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,48.218,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,48.620,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,49.021,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,49.423,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,49.824,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,56.052,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,56.453,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,56.855,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,57.256,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,57.658,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,58.059,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,20,58.460,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,21,02.642,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,21,03.044,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,21,03.445,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,21,03.847,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,21,04.248,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,21,04.649,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,21,05.051,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,21,05.452,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,21,05.854,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,21,06.255,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,21,06.657,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,21,07.058,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,21,07.460,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,21,07.861,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,21,08.262,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,21,08.664,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,21,09.065,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,21,09.467,TX-60, OK, Auto, Normal, R, =
B, 2020, 08, 21,18,21,09.868,TX-60, OK, Auto, Normal, R, =
